arm,opponent,game_index,seat,outcome,end_reason,turns,candidate_prize_remaining,opponent_prize_remaining
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,91,second,loss,PRIZES,138,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,94,first,win,NO_BENCH,20,5,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,93,second,win,PRIZES,130,0,3
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,92,first,loss,PRIZES,169,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,95,second,loss,PRIZES,157,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,97,second,win,PRIZES,158,0,1
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,96,first,win,PRIZES,153,0,2
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,98,first,win,PRIZES,149,0,3
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,99,second,loss,PRIZES,118,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,101,second,loss,PRIZES,137,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,100,first,loss,PRIZES,158,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,102,first,loss,PRIZES,134,4,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,104,first,win,PRIZES,135,0,5
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,105,second,loss,PRIZES,121,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,103,second,win,PRIZES,150,0,2
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,107,second,loss,PRIZES,121,4,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,106,first,loss,PRIZES,176,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,109,second,loss,NO_BENCH,77,6,1
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,108,first,loss,PRIZES,144,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,112,first,loss,NO_BENCH,62,6,4
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,110,first,loss,PRIZES,146,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,113,second,win,NO_BENCH,69,3,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,111,second,win,PRIZES,144,0,3
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,116,first,win,NO_BENCH,31,5,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,115,second,loss,PRIZES,102,5,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,114,first,win,PRIZES,172,0,1
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,117,second,loss,PRIZES,118,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,118,first,win,PRIZES,153,0,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,120,first,loss,PRIZES,142,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,119,second,loss,PRIZES,151,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,121,second,loss,PRIZES,160,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,124,first,win,NO_BENCH,68,2,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,123,second,loss,PRIZES,82,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,122,first,loss,PRIZES,109,4,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,127,second,win,NO_BENCH,26,5,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,126,first,win,PRIZES,135,0,2
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,125,second,loss,PRIZES,153,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,129,second,win,PRIZES,134,0,4
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,128,first,win,PRIZES,162,0,3
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,131,second,win,NO_BENCH,20,5,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,130,first,loss,PRIZES,99,4,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,133,second,loss,PRIZES,112,4,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,132,first,loss,PRIZES,125,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,136,first,win,PRIZES,143,0,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,135,second,loss,PRIZES,116,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,134,first,win,PRIZES,163,0,4
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,137,second,loss,PRIZES,141,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,139,second,win,PRIZES,127,0,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,138,first,loss,PRIZES,153,3,0
