opponent,arm,game_index,seat,outcome
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,157,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,158,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,159,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,160,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,161,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,162,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,163,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,164,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,165,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,166,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,167,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,168,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,169,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,170,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,171,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,172,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,173,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,174,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,175,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,176,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,177,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,178,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,179,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,180,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,181,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,182,first,loss
