opponent,arm,game_index,seat,outcome
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,183,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,184,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,185,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,186,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,187,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,188,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,189,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,190,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,191,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,192,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,193,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,194,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,195,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,196,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,197,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,198,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,199,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,200,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,201,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,202,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,203,second,draw
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,204,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,205,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,206,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,207,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,208,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,209,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,210,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,211,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,212,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,213,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,214,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,215,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,216,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,217,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,218,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,219,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,220,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,221,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,222,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,223,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,224,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,225,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,226,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,227,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,228,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,229,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,230,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,231,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,232,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,233,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,234,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,235,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,236,first,win
